bulb_id	model	status	brightness	color	color_temperature	energy_consumption	last_on_time	last_off_time	location
BULB32	ModelC	on	40	#450BD4	3500	0.36	2023-09-29 12:52:04	2023-10-10 12:52:04	living room
BULB33	ModelB	off	82	#CC7945	2700	0.77	2023-10-03 12:52:04	2023-10-14 12:52:04	bathroom
BULB34	ModelA	off	2	#726963	4000	1.87	2023-10-15 12:52:04	2023-09-27 12:52:04	kitchen
BULB35	ModelC	on	72	#2106C1	2700	1.59	2023-10-08 12:52:04	2023-09-22 12:52:04	bedroom
BULB36	ModelA	on	8	#F2FB2C	3000	0.2	2023-09-27 12:52:04	2023-09-28 12:52:04	bedroom
BULB37	ModelA	off	24	#5F7261	3000	4.6	2023-09-21 12:52:04	2023-09-28 12:52:04	bedroom
BULB38	ModelB	off	49	#64BFF2	3000	0.31	2023-10-16 12:52:04	2023-10-04 12:52:04	kitchen
BULB39	ModelC	off	32	#3F8381	3500	4.03	2023-10-07 12:52:04	2023-09-21 12:52:04	bathroom
BULB40	ModelB	off	89	#AFC8A8	2700	3.55	2023-09-30 12:52:04	2023-10-11 12:52:04	kitchen
BULB41	ModelA	off	70	#917688	3000	1.21	2023-10-08 12:52:04	2023-09-20 12:52:04	kitchen
BULB42	ModelB	off	18	#5D0550	3000	4.52	2023-09-28 12:52:04	2023-10-14 12:52:04	bedroom
BULB43	ModelA	off	20	#D44483	2700	2.98	2023-09-23 12:52:04	2023-09-22 12:52:04	bedroom
BULB44	ModelB	on	50	#CB7BC2	4000	3.52	2023-10-10 12:52:04	2023-09-28 12:52:04	garage
BULB45	ModelB	on	76	#C7C34D	4000	2.44	2023-09-25 12:52:04	2023-10-07 12:52:04	bathroom
BULB46	ModelB	on	54	#79AB24	5000	0.36	2023-09-20 12:52:04	2023-10-17 12:52:04	bedroom
BULB47	ModelC	off	2	#E1EA2D	3000	0.08	2023-09-27 12:52:04	2023-10-12 12:52:04	bathroom
BULB48	ModelA	off	8	#1E301B	4000	2.17	2023-10-11 12:52:04	2023-09-27 12:52:04	kitchen
BULB49	ModelB	off	22	#1CC3FE	3500	3.92	2023-10-10 12:52:04	2023-10-06 12:52:04	bedroom
BULB50	ModelA	off	59	#17BB10	4000	3.4	2023-10-15 12:52:04	2023-10-11 12:52:04	bathroom
BULB51	ModelB	on	23	#2065CC	3500	0.28	2023-09-21 12:52:04	2023-10-18 12:52:04	garage
BULB52	ModelC	on	16	#BE867A	4000	2.25	2023-10-17 12:52:04	2023-09-27 12:52:04	kitchen
BULB53	ModelB	on	17	#BA810A	2700	0.98	2023-10-06 12:52:04	2023-10-08 12:52:04	kitchen
BULB54	ModelC	on	86	#6F6A0B	2700	2.3	2023-10-13 12:52:04	2023-10-05 12:52:04	living room
BULB55	ModelA	off	47	#667F69	5000	3.57	2023-10-03 12:52:04	2023-09-29 12:52:04	living room
BULB56	ModelA	off	28	#F4B970	3000	4.29	2023-10-14 12:52:04	2023-10-04 12:52:04	living room
BULB57	ModelA	off	64	#C10C22	2700	2.21	2023-09-30 12:52:04	2023-09-28 12:52:04	kitchen
BULB58	ModelA	on	23	#A991B1	4000	1.92	2023-09-30 12:52:04	2023-10-02 12:52:04	garage
BULB59	ModelA	on	41	#620028	2700	4.04	2023-10-04 12:52:04	2023-09-20 12:52:04	bedroom
BULB60	ModelC	on	79	#221F49	2700	3.92	2023-09-24 12:52:04	2023-10-08 12:52:04	bathroom
BULB61	ModelC	off	81	#3A14CF	3500	2.41	2023-10-13 12:52:04	2023-09-27 12:52:04	kitchen
BULB62	ModelC	off	48	#23414A	2700	1.56	2023-09-29 12:52:04	2023-09-19 12:52:04	living room
BULB63	ModelA	off	7	#F3BF02	5000	2.02	2023-09-26 12:52:04	2023-09-28 12:52:04	kitchen
BULB64	ModelB	off	51	#3F9324	3500	2.25	2023-10-10 12:52:04	2023-09-21 12:52:04	living room
BULB65	ModelB	off	39	#1BE587	5000	0.39	2023-10-19 12:52:04	2023-10-12 12:52:04	living room
BULB66	ModelB	off	73	#576844	4000	3.09	2023-10-17 12:52:04	2023-10-18 12:52:04	bathroom
BULB67	ModelB	off	38	#354D06	5000	4.01	2023-09-24 12:52:04	2023-09-20 12:52:04	living room
BULB68	ModelA	off	84	#8F2215	4000	4.38	2023-10-01 12:52:04	2023-09-25 12:52:04	garage
BULB69	ModelC	off	47	#6A218A	5000	3.45	2023-10-16 12:52:04	2023-10-09 12:52:04	bedroom
BULB70	ModelC	on	47	#661C9F	5000	3.95	2023-09-21 12:52:04	2023-09-20 12:52:04	living room
BULB71	ModelB	on	13	#7003D4	5000	1.29	2023-10-14 12:52:04	2023-10-10 12:52:04	bathroom
BULB72	ModelA	on	34	#A2DA13	5000	3.79	2023-09-21 12:52:04	2023-09-27 12:52:04	living room
BULB73	ModelB	on	19	#7F373A	5000	1.05	2023-09-26 12:52:04	2023-10-02 12:52:04	garage
BULB74	ModelC	on	25	#01387B	2700	1.63	2023-10-02 12:52:04	2023-10-19 12:52:04	kitchen
BULB75	ModelB	off	85	#D389DD	5000	2.99	2023-10-03 12:52:04	2023-10-19 12:52:04	kitchen
BULB76	ModelA	off	2	#55F8E3	3000	1.64	2023-10-02 12:52:04	2023-10-08 12:52:04	kitchen
BULB77	ModelC	on	88	#7419EC	5000	4.87	2023-09-23 12:52:04	2023-09-20 12:52:04	garage
BULB78	ModelA	off	83	#9FE643	3000	1.73	2023-10-15 12:52:04	2023-09-20 12:52:04	garage
BULB79	ModelA	on	52	#599138	3500	3.18	2023-09-20 12:52:04	2023-10-12 12:52:04	kitchen
BULB80	ModelC	on	83	#3A65A4	4000	2.4	2023-10-06 12:52:04	2023-10-15 12:52:04	living room
BULB81	ModelB	off	95	#66A31F	4000	1.53	2023-10-10 12:52:04	2023-09-26 12:52:04	bathroom
BULB82	ModelB	off	69	#AF3FFF	3500	2.98	2023-10-15 12:52:04	2023-10-02 12:52:04	bedroom
BULB83	ModelA	off	12	#B20766	3000	4.69	2023-10-16 12:52:04	2023-10-16 12:52:04	kitchen
BULB84	ModelB	on	74	#8AA85F	5000	3.83	2023-09-22 12:52:04	2023-09-23 12:52:04	bathroom
BULB85	ModelC	off	90	#9C1E68	5000	1.71	2023-10-10 12:52:04	2023-10-10 12:52:04	garage
BULB86	ModelA	off	16	#DE4379	5000	3.46	2023-10-16 12:52:04	2023-10-08 12:52:04	living room
BULB87	ModelB	on	23	#7F9FEE	4000	3.07	2023-09-29 12:52:04	2023-10-06 12:52:04	kitchen
BULB88	ModelC	on	90	#156CB3	3000	4.16	2023-09-22 12:52:04	2023-09-25 12:52:04	bedroom
BULB89	ModelC	on	31	#59E006	3500	2.29	2023-10-17 12:52:04	2023-09-24 12:52:04	bathroom
BULB90	ModelC	off	6	#107A34	5000	3.66	2023-09-21 12:52:04	2023-10-12 12:52:04	garage
BULB91	ModelA	off	83	#3D13B3	3000	2.03	2023-10-01 12:52:04	2023-09-25 12:52:04	kitchen
BULB92	ModelB	off	94	#6776F3	3000	0.95	2023-10-14 12:52:04	2023-09-25 12:52:04	bathroom
BULB93	ModelB	on	53	#C2D47F	2700	4.65	2023-09-25 12:52:04	2023-10-14 12:52:04	bathroom
BULB94	ModelA	off	75	#68BFF4	3500	1.59	2023-10-03 12:52:04	2023-09-22 12:52:04	bathroom
BULB95	ModelA	off	10	#980550	3000	1.74	2023-10-15 12:52:04	2023-10-10 12:52:04	garage
BULB96	ModelA	on	23	#2A6472	3000	2.83	2023-09-27 12:52:04	2023-10-03 12:52:04	bathroom
BULB97	ModelA	on	9	#B1AC2A	2700	4.08	2023-09-22 12:52:04	2023-09-29 12:52:04	living room
BULB98	ModelB	off	64	#C45038	4000	3.08	2023-10-13 12:52:04	2023-09-23 12:52:04	bathroom
BULB99	ModelA	on	56	#9B904E	3000	4.18	2023-09-28 12:52:04	2023-09-21 12:52:04	bedroom
BULB100	ModelA	on	62	#B78C5C	4000	1.78	2023-09-30 12:52:04	2023-10-07 12:52:04	bathroom
